item,source_image,source_page,section,subtopic,answer,transcription_status,notes
1,image_03.jpg,3,General Information,RA 6713 norms of conduct,D,needs_prompt_transcription,
2,image_03.jpg,3,General Information,1987 Constitution environmental right,A,needs_prompt_transcription,
3,image_03.jpg,3,General Information,RA 6713 response period,C,needs_prompt_transcription,
4,image_03.jpg,3,General Information,SALN coverage,C,needs_prompt_transcription,
5,image_03.jpg,3,General Information,Constitution indigenous peoples rights,B,needs_prompt_transcription,
6,image_03.jpg,3,General Information,environment agency DENR,B,needs_prompt_transcription,
7,image_03.jpg,3,General Information,human rights non-derogable prohibition,B,needs_prompt_transcription,
8,image_04.jpg,4,General Information,rule of law,B,needs_prompt_transcription,
9,image_04.jpg,4,General Information,transparency in governance,B,needs_prompt_transcription,
10,image_04.jpg,4,General Information,CSC constitutional commission,B,needs_prompt_transcription,
11,image_04.jpg,4,General Information,Philippine territory sovereignty,B,needs_prompt_transcription,
12,image_04.jpg,4,General Information,solid waste management,C,needs_prompt_transcription,
13,image_04.jpg,4,General Information,separation of powers,B,needs_prompt_transcription,
14,image_04.jpg,4,General Information,RA 6713 prohibited acts,B,needs_prompt_transcription,
15,image_04.jpg,4,General Information,public service promptness,B,needs_prompt_transcription,
16,image_05.jpg,5,General Information,peace education,B,needs_prompt_transcription,
17,image_05.jpg,5,General Information,Bill of Rights article,C,needs_prompt_transcription,
18,image_05.jpg,5,General Information,accountability,C,needs_prompt_transcription,
19,image_05.jpg,5,General Information,right against torture,B,needs_prompt_transcription,
20,image_05.jpg,5,General Information,responsiveness in frontline service,B,needs_prompt_transcription,
21,image_05.jpg,5,Verbal Ability,synonym in sentence,B,needs_prompt_transcription,
22,image_05.jpg,5,Verbal Ability,synonym in sentence,C,needs_prompt_transcription,
23,image_06.jpg,6,Verbal Ability,synonym in sentence,B,needs_prompt_transcription,
24,image_06.jpg,6,Verbal Ability,synonym in sentence,D,needs_prompt_transcription,
25,image_06.jpg,6,Verbal Ability,synonym in sentence,A,needs_prompt_transcription,
26,image_06.jpg,6,Verbal Ability,antonym in sentence,C,needs_prompt_transcription,
27,image_06.jpg,6,Verbal Ability,antonym in sentence,D,needs_prompt_transcription,
28,image_06.jpg,6,Verbal Ability,antonym in sentence,A,needs_prompt_transcription,
29,image_06.jpg,6,Verbal Ability,antonym in sentence,B,needs_prompt_transcription,
30,image_06.jpg,6,Verbal Ability,antonym in sentence,C,needs_prompt_transcription,
31,image_07.jpg,7,Verbal Ability,error identification,C,needs_prompt_transcription,
32,image_07.jpg,7,Verbal Ability,error identification,C,needs_prompt_transcription,
33,image_07.jpg,7,Verbal Ability,error identification,B,needs_prompt_transcription,
34,image_07.jpg,7,Verbal Ability,error identification,B,needs_prompt_transcription,
35,image_07.jpg,7,Verbal Ability,error identification,B,needs_prompt_transcription,
36,image_07.jpg,7,Verbal Ability,word choice / commonly confused words,B,needs_prompt_transcription,
37,image_07.jpg,7,Verbal Ability,pronoun choice,A,needs_prompt_transcription,
38,image_07.jpg,7,Verbal Ability,subject-verb agreement,A,needs_prompt_transcription,
39,image_08.jpg,8,Verbal Ability,word choice / lay-lie,A,needs_prompt_transcription,
40,image_08.jpg,8,Verbal Ability,spelling / word choice,B,needs_prompt_transcription,
41,image_08.jpg,8,Verbal Ability,error identification,C,needs_prompt_transcription,
42,image_08.jpg,8,Verbal Ability,error identification,C,needs_prompt_transcription,
43,image_08.jpg,8,Verbal Ability,error identification,B,needs_prompt_transcription,
44,image_08.jpg,8,Verbal Ability,error identification,B,needs_prompt_transcription,
45,image_08.jpg,8,Verbal Ability,error identification,B,needs_prompt_transcription,
46,image_08.jpg,8,Verbal Ability,word choice,A,needs_prompt_transcription,
47,image_09.jpg,9,Verbal Ability,subject-verb agreement,B,needs_prompt_transcription,
48,image_09.jpg,9,Verbal Ability,conditional tense,C,needs_prompt_transcription,
49,image_09.jpg,9,Verbal Ability,subject-verb agreement,A,needs_prompt_transcription,
50,image_09.jpg,9,Verbal Ability,homophone choice,B,needs_prompt_transcription,
51,image_09.jpg,9,Verbal Ability,reading comprehension main idea,C,needs_prompt_transcription,
52,image_09.jpg,9,Verbal Ability,reading comprehension detail,B,needs_prompt_transcription,
53,image_09.jpg,9,Verbal Ability,reading comprehension inference,B,needs_prompt_transcription,
54,image_10.jpg,10,Verbal Ability,vocabulary in context,C,needs_prompt_transcription,
55,image_10.jpg,10,Verbal Ability,reading comprehension detail,C,needs_prompt_transcription,
56,image_10.jpg,10,Verbal Ability,vocabulary in context,B,needs_prompt_transcription,
57,image_10.jpg,10,Verbal Ability,antonym in sentence,C,needs_prompt_transcription,
58,image_10.jpg,10,Verbal Ability,reading comprehension detail,C,needs_prompt_transcription,
59,image_10.jpg,10,Verbal Ability,grammar correct sentence,C,needs_prompt_transcription,
60,image_10.jpg,10,Verbal Ability,grammar correct sentence,B,needs_prompt_transcription,
61,image_10.jpg,10,Verbal Ability,synonym,B,needs_prompt_transcription,
62,image_11.jpg,11,Verbal Ability,synonym,C,needs_prompt_transcription,
63,image_11.jpg,11,Verbal Ability,antonym,B,needs_prompt_transcription,
64,image_11.jpg,11,Verbal Ability,antonym,C,needs_prompt_transcription,
65,image_11.jpg,11,Verbal Ability,error identification,C,needs_prompt_transcription,
66,image_11.jpg,11,Verbal Ability,error identification,C,needs_prompt_transcription,
67,image_11.jpg,11,Verbal Ability,word choice,A,needs_prompt_transcription,
68,image_11.jpg,11,Verbal Ability,word form,A,needs_prompt_transcription,
69,image_11.jpg,11,Verbal Ability,adverb choice,A,needs_prompt_transcription,
70,image_11.jpg,11,Verbal Ability,word choice / homograph,A,needs_prompt_transcription,
71,image_12.jpg,12,Verbal Ability,reading comprehension main idea,B,needs_prompt_transcription,
72,image_12.jpg,12,Verbal Ability,vocabulary in context,C,needs_prompt_transcription,
73,image_12.jpg,12,Verbal Ability,vocabulary in context,B,needs_prompt_transcription,
74,image_12.jpg,12,Verbal Ability,spelling,A,needs_prompt_transcription,
75,image_12.jpg,12,Verbal Ability,spelling,A,needs_prompt_transcription,
76,image_12.jpg,12,Verbal Ability,spelling,A,needs_prompt_transcription,
